"V1","V2","V3","V4","V5","V6"
"C1",0.0377964473009227,-0.0622644446556375,0,0.111644264185192,-0.000782885497804977,0
"C2",0.0377964473009227,0.0170314583673401,0.0375716548337705,0,0,0
"C3",0.0377964473009227,0.0163890796917966,0.0481421711039744,0,0,0
"C4",0.0377964473009227,0.013973953814838,0.0418490266194348,0,0,0
"C5",0.0377964473009227,-0.00141287168621514,0,-0.0354021656070102,0,0.0146515255661153
"C6",0.0377964473009227,0.0141433188879453,0.0463873737560565,0,0,0
"C7",0.0377964473009227,-0.0623184795582637,0,0.147301224396548,0.000951634159178662,0
"C8",0.0377964473009227,-0.0294998070264079,0,-0.00793088820781052,0,0.11246436280506
"C9",0.0377964473009227,-0.029434201869317,0,-0.0109329404688676,0,0.115601506349312
"C10",0.0377964473009227,0.0512279725887519,-0.0284162440119728,0,0,0
"C11",0.0377964473009227,0.0392110606483401,-0.00649561621961557,0,0,0
"C12",0.0377964473009227,0.0259676557705145,0.0297110122075528,0,0,0
"C13",0.0377964473009227,-0.0268156653862502,0,-0.0155913972703438,0,0.0719113563155563
"C14",0.0377964473009227,-0.00710089420239338,0,-0.0377177066356974,0,-0.0608866233990972
"C15",0.0377964473009227,-0.0388847603864797,0,-0.00567840786512132,0,-0.0677231420857991
"C16",0.0377964473009227,0.0533813472202058,-0.0318244396344552,0,0,0
"C17",0.0377964473009227,-0.0144127383420841,0,-0.0290590217519473,0,0.0712550009397284
"C18",0.0377964473009227,0.00235244093207724,0.0393879656868521,0,0,0
"C19",0.0377964473009227,0.027296536029545,0.0221605864229484,0,0,0
"C20",0.0377964473009227,-0.0313522326063567,0,-0.0140820398230801,0,0.119101771063855
"C21",0.0377964473009227,0.0538090628426907,-0.0507895861326164,0,0,0
"C22",0.0377964473009227,0.014928656079823,0.0388394073128779,0,0,0
"C23",0.0377964473009227,0.0597057602023423,-0.0537556073341833,0,0,0
"C24",0.0377964473009227,-0.0654071875430866,0,0.0614619023564449,0.0106086189269241,0
"C25",0.0377964473009227,0.0158063747885033,0.037846532922581,0,0,0
"C26",0.0377964473009227,0.0477099930597094,-0.0175712587614672,0,0,0
"C27",0.0377964473009227,-0.0261693098242958,0,-0.0323413625506774,0,-0.0598284137537601
"C28",0.0377964473009227,-0.0200696736892392,0,-0.00951245204917269,0,0.0949924254314899
"C29",0.0377964473009227,-0.00341364174784079,0,-0.043510820412884,0,-0.0396490850264504
"C30",0.0377964473009227,0.0696928275059938,-0.114572827777683,0,0,0
"C31",0.0377964473009227,0.0642244552246336,-0.0948681762570611,0,0,0
"C32",0.0377964473009227,-0.0213709138951486,0,-0.0431649115590259,0,-0.0361612555040382
"C33",0.0377964473009227,-0.00668360349866328,0,-0.0483398543775736,0,0.0253459402058251
"C34",0.0377964473009227,0.0205176481043143,0.0400711113493163,0,0,0
"C35",0.0377964473009227,-0.0268367218766809,0,-0.042787652445192,0,-0.0129020413788848
"C36",0.0377964473009227,0.034379677776269,0.00167832885638055,0,0,0
"C37",0.0377964473009227,-0.0148741301562906,0,-0.0285593093058586,0,0.0516981305158738
"C38",0.0377964473009227,-0.0601538059874061,0,0.145404930254394,-0.00418006589688613,0
"C39",0.0377964473009227,0.0150766987198718,0.0422933022253407,0,0,0
"C40",0.0377964473009227,0.0116341885826034,0.0422309242861497,0,0,0
"C41",0.0377964473009227,-0.0323547115270844,0,-0.0202327728560075,0,-0.0140196266411866
"C42",0.0377964473009227,-0.049230228231101,0,0.0199165836350825,0.198239897516394,0
"C43",0.0377964473009227,0.00716487872435107,0.054155260354902,0,0,0
"C44",0.0377964473009227,-0.022876395341782,0,-0.0390454098546989,0,-0.04752544542595
"C45",0.0377964473009227,0.0170165836456504,0.0395444764315659,0,0,0
