"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"C1",0.00781514285344703,0.0632900146507669,0.00471793551245889,-0.0194403109086945,-0.0750752795183487,-0.0674135651100999,0.0905584326883732,0.0616638355550115,0,-0.00412231091763646,0.0274959161463697,0
"C2",0.0444521653875298,-0.0263685324601891,0.0338710951525809,-0.0417860219258351,-0.019761373567431,-0.0565098353338162,0.021495931615781,-0.00490440026791138,0,0.0478023705063454,0.0630959437745346,0
"C3",0.0415300016588042,-0.026594675891818,0.0275469243502366,-0.0327363835250182,-0.0290809507870207,-0.0539786107075883,0.0102830975545004,0.0287899093159918,0,-0.00490473630184298,0.0134106840072287,0
"C4",0.0430427730093744,-0.0238485739910729,0.0291883560409927,-0.0322171278890787,-0.0280641559510643,-0.0185911537854294,0.0207633011137882,-0.00674525717651504,0,-0.0282179452335141,0.0767349388206812,0
"C5",0.0479093852842306,-0.00838820603157747,0.0498948717113556,-0.0530444933360176,0.00441046581682692,-0.00578469193586182,0.0161717617500118,-0.00159318350613134,0,-0.00528527761509537,0.0111866832955811,0
"C6",0.0381005312548693,-0.0244549224076913,0.0380955915233012,-0.0349580253398057,0.0171775330954229,0.000883579720911794,-0.0499983046895197,-0.0248294794940827,0,-0.00586979088742803,-0.0439049919527821,0
"C7",0.00254077954914486,0.0664567626860973,-0.00568757874039477,-0.0116627206804176,-0.0953990536415977,-0.0925754495069767,0.0969368038648751,0.0936075082408839,0,-0.00266023322260694,0.0324931661828606,0
"C8",0.0436656299656124,0.0220394169566418,0.0761800334973077,-0.0659902223030679,0.0713500744165476,0.0633317478814612,-0.0614670405900287,-0.0649236253760625,0,0.013203884355464,0.0271753770253614,0
"C9",0.0436107155793709,0.0217197920445047,0.0780552493400001,-0.0654701239667957,0.0682288236512004,0.0644069015184848,-0.0759066635079508,-0.0767449348898433,0,-0.0985207453761821,0.00766395971357778,0
"C10",0.0384691692418564,-0.054777235972601,0.0138076531184942,-0.0193805110371391,-0.0206428630018591,-0.0274179576169643,0.0293327517895024,0.0211348308384403,0,0.00144382498515779,-0.052617282464062,0
"C11",0.0380207776005095,-0.0447506223018581,0.01683286855352,-0.0222510056641981,-0.0203305632563439,-0.0253900288674338,0.0443402100391223,-0.00124587565852732,0,-0.0477449856820653,0.00352089541729456,0
"C12",0.0417185895792427,-0.0344840177317854,0.0308973091736576,-0.0362191533511183,-0.0147916595016721,0.00155126552660396,0.0192534050593541,0.00549586442419561,0,-2.1607983365297e-05,-0.0297790907163365,0
