"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"C1",0.0377964473009227,0.0748647271146146,-0.0980772543993595,0,0,0.0987793882597134,0,0,0,0,0,0
"C2",0.0377964473009227,-0.0207156878646778,0,-0.0394842824343852,0,0,0,0.0481545361457354,0,0,0.0997403559035261,0
"C3",0.0377964473009227,-0.0203881734074763,0,-0.0127990340863372,0,0,0,0.089024902642367,0,0,0.0391328874009367,0
"C4",0.0377964473009227,-0.0180041973429499,0,-0.027423290122769,0,0,0,0.0766752707987573,0,0,0.114520184728905,0
"C5",0.0377964473009227,-0.00364665433130067,0,-0.0945582459123103,0,0,0,0.00913319067380325,0,0,0.0178375959140873,0
"C6",0.0377964473009227,-0.0174859698749183,0,0.00379270302686746,0,0,-0.197186955257728,0,0,0,0,0
"C7",0.0377964473009227,0.0790035598224274,-0.125708734619613,0,0,0.109556137263346,0,0,0,0,0,0
"C8",0.0377964473009227,0.0273425793232593,0.0762687536978889,0,0.0803913708836977,0,0,0,0,0,0,0
"C9",0.0377964473009227,0.0270516144271987,0.0766152902787698,0,0.0900959963461613,0,0,0,0,0,0,0
"C10",0.0377964473009227,-0.0475590798792672,0,0.0497565021503179,0,0,0.0211622065003802,0,0,0,0,0
"C11",0.0377964473009227,-0.0375855549683448,0,0.0398178289761021,0,0,0.0498822162120985,0,0,0,0,0
"C12",0.0377964473009227,-0.0281468838741342,0,-0.00815605669390644,0,0,0,-0.0302883957787703,0,0,0,0
"C13",0.0377964473009227,0.0251547276220728,0.0369070111995449,0,0.132052382590008,0,0,0,0,0,0,0
"C14",0.0377964473009227,0.00422066662937777,-0.0158001584144665,0,0,-0.00356527380356905,0,0,0,0,0,0
"C15",0.0377964473009227,0.0387100534994252,-0.0322644698338995,0,0,-0.0480836107925432,0,0,0,0,0,0
"C16",0.0377964473009227,-0.0491951172125124,0,0.0639866123541294,0,0,0.0674150423175062,0,0,0,0,0
"C17",0.0377964473009227,0.0110488504688278,0.0532483347134328,0,0.0867013302349367,0,0,0,0,0,0,0
"C18",0.0377964473009227,-0.00772619942387638,0,-0.0977249674455451,0,0,0,0.0698437762505204,0,0,0.115468706812702,0
"C19",0.0377964473009227,-0.0287638569135775,0,0.00192617277706251,0,0,0.0579936181886324,0,0,0,0,0
"C20",0.0377964473009227,0.0291380812128909,0.0689262174121623,0,0.137678266932523,0,0,0,0,0,0,0
"C21",0.0377964473009227,-0.0489388702929174,0,0.0398842378607348,0,0,0.142994946007704,0,0,0,0,0
"C22",0.0377964473009227,-0.0192938787552875,0,-0.0553385860347823,0,0,0,0.110820132838929,0,0,0.0191872898857698,0
"C23",0.0377964473009227,-0.0539379485894913,0,0.0600341922264202,0,0,0.0223685740065189,0,0,0,0,0
"C24",0.0377964473009227,0.0716165312100035,-0.0451097903786002,0,0,-0.0263001032520963,0,0,0,0,0,0
"C25",0.0377964473009227,-0.019861780591681,0,-0.0437963176830378,0,0,0,0.118271426370235,0,0,-0.134537230007973,0
"C26",0.0377964473009227,-0.0449022421703155,0,0.0523817569997575,0,0,0.0122627153839534,0,0,0,0,0
"C27",0.0377964473009227,0.0224690629885229,0.00396525750272063,0,-0.0927622586069776,0,0,0,0,0.17376762948373,0,0
"C28",0.0377964473009227,0.0187430769798339,0.0531760530675264,0,0.125077260944077,0,0,0,0,0,0,0
"C29",0.0377964473009227,-0.00143348453294822,0,-0.0347839770297732,0,0,0,0.0930684043004953,0,0,0.0301900724164778,0
"C30",0.0377964473009227,-0.0580663483244228,0,0.119227329455688,0,0,0.0964522742544421,0,0,0,0,0
"C31",0.0377964473009227,-0.0548640075955774,0,0.0846921494746375,0,0,-0.0213190581371907,0,0,0,0,0
"C32",0.0377964473009227,0.0169412441529947,0.00844750803823871,0,-0.0157733227596754,0,0,0,0,0.161692674773822,0,0
"C33",0.0377964473009227,0.00174641713925052,0.0406436737374652,0,0.0611832140995162,0,0,0,0,0,0,0
"C34",0.0377964473009227,-0.0238239092091789,0,-0.0114967154513114,0,0,0,0.0162124810744713,0,0,0.0641986439252626,0
"C35",0.0377964473009227,0.0224976616207251,0.0206846347535164,0,0.0280677976891916,0,0,0,0,0,0,0
"C36",0.0377964473009227,-0.0342889759635177,0,0.00339432911449847,0,0,0.0528172659864223,0,0,0,0,0
"C37",0.0377964473009227,0.0108030359612181,0.0640430713951347,0,-0.00591686959132183,0,0,0,0,0.011483005261853,0,0
"C38",0.0377964473009227,0.0763133667091751,-0.109879850841158,0,0,0.129035552843925,0,0,0,0,0,0
"C39",0.0377964473009227,-0.0197237779040156,0,-0.060948023677567,0,0,0,0.0647856677926395,0,0,0.0729064737877982,0
"C40",0.0377964473009227,-0.0155739538974766,0,-0.0311266079470063,0,0,0,0.0791189876747077,0,0,-0.178970141389725,0
"C41",0.0377964473009227,0.0303635308327298,0.000380564645566518,0,0.0238618383037541,0,0,0,0,0,0,0
"C42",0.0377964473009227,0.0518804082455811,-0.0549568422212507,0,0,-0.0448280005951995,0,0,0,0,0,0
"C43",0.0377964473009227,-0.0110401931325757,0,0.00327690893213526,0,0,0.0491027803205027,0,0,0,0,0
"C44",0.0377964473009227,0.0190280678748844,0.000680441833807935,0,-0.0294405711703779,0,0,0,0,0.024325420997243,0,0
"C45",0.0377964473009227,-0.0208498791871316,0,-0.030346508774208,0,0,0,0.0918285509848782,0,0,0.0210514340137333,0
"C46",0.0377964473009227,0.0272462327290734,0.101394196668549,0,-0.0281233855195078,0,0,0,0,-0.00339418360402782,0,0
"C47",0.0377964473009227,-0.0148077745744183,0,-0.0275260216753366,0,0,0,-0.0553975326606822,0,0,0,0
"C48",0.0377964473009227,-0.0487017803789224,0,0.0974948122311644,0,0,-0.0838426018540267,0,0,0,0,0
"C49",0.0377964473009227,0.00937402294197751,0.00964783740527412,0,-0.0428601682286767,0,0,0,0,0.117718223462008,0,0
"C50",0.0377964473009227,-0.0205199371810973,0,-0.0135724436833639,0,0,0,0.0511495123742323,0,0,-0.0852056292760452,0
"C51",0.0377964473009227,-0.0069990685324293,0,-0.0449031236025302,0,0,0,0.026613877891775,0,0,0.0693512967918935,0
"C52",0.0377964473009227,-0.00801725448769557,0,-0.0652483515629076,0,0,0,0.0703889643424301,0,0,-0.0489607148497035,0
"C53",0.0377964473009227,-0.0574580002297732,0,0.0613032482265544,0,0,0.17462889794269,0,0,0,0,0
"C54",0.0377964473009227,0.030314209008813,0.0303551980221802,0,-0.147519572842474,0,0,0,0,-0.153386097976295,0,0
"C55",0.0377964473009227,0.0110656906248353,0.0677183632432141,0,-0.00424849657416933,0,0,0,0,0.0444272239852383,0,0
"C56",0.0377964473009227,0.0408264271859316,-0.031288497843461,0,0,-0.0809787344344576,0,0,0,0,0,0
"C57",0.0377964473009227,-0.00958892517801989,0,-0.0535336364572598,0,0,0,-0.0201843458203466,0,0,0,0
"C58",0.0377964473009227,-0.055994756881035,0,0.0505071012039816,0,0,0.098013590515624,0,0,0,0,0
"C59",0.0377964473009227,0.0383630784874871,-0.0127661814375756,0,0,-0.053566520153437,0,0,0,0,0,0
"C60",0.0377964473009227,-0.0179384227360347,0,-0.0792015373631909,0,0,0,0.211358460166275,0,0,-0.0417313983913331,0
"C61",0.0377964473009227,-0.0417867563756324,0,0.0618002384299902,0,0,-0.00853524401921136,0,0,0,0,0
"C62",0.0377964473009227,-0.0393123162285438,0,0.0211743430486232,0,0,0.028914255960792,0,0,0,0,0
"C63",0.0377964473009227,-0.0517196269480701,0,0.052799336190215,0,0,0.0370398440145041,0,0,0,0,0
"C64",0.0377964473009227,0.0588354610522399,-0.0348043156007736,0,0,0.171351731583554,0,0,0,0,0,0
"C65",0.0377964473009227,0.0715695515883724,-0.0438255736943409,0,0,-0.0222861698697228,0,0,0,0,0,0
"C66",0.0377964473009227,-0.0199471148191103,0,0.00142608851281396,0,0,0.00669219367658093,0,0,0,0,0
"C67",0.0377964473009227,-0.0161416634484599,0,0.0262213055660035,0,0,-0.0696198324909959,0,0,0,0,0
"C68",0.0377964473009227,-0.0564799211697101,0,0.0878490646615144,0,0,-0.116810172011943,0,0,0,0,0
"C69",0.0377964473009227,0.0347551026807861,0.0455844278588613,0,0.150727221842387,0,0,0,0,0,0,0
"C70",0.0377964473009227,0.0155576242098905,-0.0246441108525748,0,0,-0.0287004232480879,0,0,0,0,0,0
"C71",0.0377964473009227,-0.0238254137341297,0,-0.0173569995508615,0,0,0,0.0738389188463268,0,0,-0.025626928903798,0
"C72",0.0377964473009227,-0.0171430000553005,0,-0.0396994376087461,0,0,0,0.00615295287204136,0,0,0.0477606965167437,0
"C73",0.0377964473009227,0.00361513763841405,0.0375461173136906,0,0.0359391706016936,0,0,0,0,0,0,0
"C74",0.0377964473009227,-0.0535978957288402,0,0.096749804846216,0,0,-0.142651551780695,0,0,0,0,0
"C75",0.0377964473009227,-0.012553311518239,0,-0.043179524815432,0,0,0,0.048139405651996,0,0,0.0489891365330619,0
"C76",0.0377964473009227,-0.0329622307879999,0,8.5733470182625e-05,0,0,0.0305726364861562,0,0,0,0,0
"C77",0.0377964473009227,0.0536277276665388,-0.0310569680518497,0,0,-0.0500255529453036,0,0,0,0,0,0
"C78",0.0377964473009227,-0.0208554380305766,0,-0.0574740385976658,0,0,0,0.0133019383344966,0,0,0.105938245460471,0
"C79",0.0377964473009227,0.0272324868648266,0.0827527535985446,0,0.0359738993174789,0,0,0,0,0,0,0
"C80",0.0377964473009227,0.0336220748796818,-0.0317336392871298,0,0,0.0557789765296552,0,0,0,0,0,0
"C81",0.0377964473009227,0.0787698074320397,-0.107730849749815,0,0,0.15167355140721,0,0,0,0,0,0
"C82",0.0377964473009227,-0.0138092677792304,0,-0.014862551764329,0,0,0,-0.00266032346339879,0,0,0,0
"C83",0.0377964473009227,0.0404269581401614,0.0101315593579873,0,0.00624446730292807,0,0,0,0,0,0,0
"C84",0.0377964473009227,0.0327691184606382,0.0112126521844122,0,-0.0334257290541076,0,0,0,0,0.0458439308383195,0,0
"C85",0.0377964473009227,0.00263898573387408,0.0255539356577985,0,0.00111399603999113,0,0,0,0,0,0,0
"C86",0.0377964473009227,0.0530747293002709,0.0189569052937788,0,-0.0483720186398565,0,0,0,0,0.16471279880283,0,0
"C87",0.0377964473009227,0.0456555736539489,-0.0312344032062494,0,0,-0.151115046959309,0,0,0,0,0,0
"C88",0.0377964473009227,-0.0185393984957013,0,-0.0549510730669509,0,0,0,0.0586370884505992,0,0,-0.00535299051603797,0
"C89",0.0377964473009227,-1.04240994476061e-05,0,-0.0532315973547133,0,0,0,0.101287970130134,0,0,0.157401766263048,0
"C90",0.0377964473009227,-0.053498862333195,0,0.0610612194374772,0,0,0.122978465108605,0,0,0,0,0
"C91",0.0377964473009227,-0.000982331154201109,0,-0.0340533707271223,0,0,0,0.0751302556158373,0,0,0.0480958182722722,0
"C92",0.0377964473009227,-0.0481238263629134,0,0.0430661257281674,0,0,-0.0289079729252784,0,0,0,0,0
"C93",0.0377964473009227,-0.0559474224432411,0,0.0671892061309434,0,0,-0.0707133262650357,0,0,0,0,0
"C94",0.0377964473009227,0.0780805722028751,-0.117247931490429,0,0,0.0819765334209565,0,0,0,0,0,0
