"V1","V2","V3","V4","V5","V6","V7"
"G1",0.0471082192988056,-0.0434022653875825,0.013263436424356,0.0484505762663951,-0.0640175853643176,0.0462609310728238,-0.0423179448857205
"G2",0.0468423878314361,0.0373241710912658,-0.0551501254924461,0.0515160848017912,-0.0536914794872343,0.000627470597125788,-0.0121627814727495
"G3",0.0553842103123609,-0.0418968878015459,0.00145730527180434,0.0421857802508161,-0.030855281557046,0.0692539816295247,-0.075443007555062
"G4",0.0447767066018854,-0.00107885691602887,-0.0316503957214408,0.0495554657521195,-0.0270382455486934,0.0430726475678297,-0.0495735129861164
"G5",0.0319708329444074,0.00917229423097554,-0.0221865704957359,0.0331783449940332,-0.0384519102554068,0.00966914582599177,-0.0102636656146314
"G6",0.051646525527575,-0.00763399568559812,-0.025607096108661,0.0602450419477968,-0.0665766232146656,0.0402956454534412,-0.0295405087382237
"G7",0.0415904351835133,-0.0529505317464336,0.0297620854569787,0.0385100522059522,-0.0320940211953563,0.0381315826472672,-0.0339948599899124
"G8",0.0492897191548867,0.0255070371475386,-0.0459640425832606,0.0537076764999662,-0.05826922697852,0.00985535162249823,0.00350777194423104
"G9",0.0370485183978541,0.0796274184322471,-0.0873406793491306,0.0510061983504242,-0.0443224921064058,-0.025638165533377,0.00381519406030844
"G10",0.0415088636362576,-0.000428453816018208,-0.0250545881512499,0.0370097177961119,-0.053315007667673,0.0349548732181391,-0.0408422003460141
"G11",0.0302940472188262,0.012063023714202,-0.0414476247206135,0.0454988546265536,-0.022406772534007,0.033876401365564,-0.0329721644973602
"G12",0.0541044963126643,-0.0638692556828748,0.0275827778371269,0.0376011430281307,-0.0414356437887196,0.0665086215678578,-0.0585403685666629
"G13",0.0495883489842589,-0.0624860062291424,0.041787711451936,0.0222915915667545,-0.0262677480044656,0.035617168935355,-0.040818593544776
"G14",0.0468383575023882,-0.0884108910501767,0.0687832804337274,0.0025139923725086,-0.0180315091934677,0.0562399759829907,-0.0472165629713873
"G15",0.0501885617550699,0.043834228508764,-0.0657158832477364,0.0514513850787462,-0.0462369649725703,0.00645074178614587,-0.0224745052695544
"G16",0.0536296071403844,-0.0276852420320145,-0.0182831665120762,0.0510592025016677,-0.0598092675434443,0.0853687814662678,-0.0835896492979483
"G17",0.04224896418107,-0.00715990079896191,-0.0094137460722965,0.0326276505839525,-0.0336589916723303,0.0192083306677131,-0.0383641286365486
"G18",0.0438960086605251,-0.013799158861483,-0.029577366130704,0.0450357143765488,-0.0567622588826391,0.0695097670571441,-0.083597485069629
"G19",0.0308766504590475,0.0400521766843761,-0.0614159590163325,0.0469047834221501,-0.057904302706981,0.0195026776830478,-0.0144046040161199
