"V1","V2","V3","V4","V5","V6","V7"
"C1",0.0377964473009227,0,0.0122945843772837,0,0,0.0601150805798007,0
"C2",0.0377964473009227,0,0.066781728567659,0,0,0,0.0265751085729707
"C3",0.0377964473009227,0.00910387723292135,0,0.117766580516185,0,0,0
"C4",0.0377964473009227,0,0.037274832071624,0,0,0.0407030645729215,0
"C5",0.0377964473009227,0,0.0745726962935234,0,0,0,0
"C6",0.0377964473009227,0,0.0669695648823758,0,0,0,0.0412522074036872
"C7",0.0377964473009227,0,0.0135825009727304,0,0,0.0595602753724971,0
"C8",0.0377964473009227,0.0594566674427912,0,0.0487602252524871,0,0,0
"C9",0.0377964473009227,0,0.0161535645315824,0,0,0.0636434950369889,0
"C10",0.0377964473009227,0,0.0555154272612664,0,0,0,0
"C11",0.0377964473009227,0.0827033547713902,0,0,0.0985793539356259,0,0
"C12",0.0377964473009227,0,0.064668820917056,0,0,0,0
"C13",0.0377964473009227,0,0.023797878939701,0,0,0.0724611905139865,0
"C14",0.0377964473009227,0,0.0205512655100023,0,0,0.0400855361377557,0
"C15",0.0377964473009227,0.0875424648493805,0,0,0.0789381545143679,0,0
"C16",0.0377964473009227,0,0.0878142957758216,0,0,0,0.158277708025426
"C17",0.0377964473009227,0.0845248547264226,0,0,0.0701520126430525,0,0
"C18",0.0377964473009227,0.0614382739455461,0,0.0449085608740144,0,0,0
"C19",0.0377964473009227,0,0.00776402043932657,0,0,0.0626197111224312,0
"C20",0.0377964473009227,0,0.01801093745293,0,0,0.049978882420166,0
"C21",0.0377964473009227,0.0652896443661313,0,0.0405027314180586,0,0,0
"C22",0.0377964473009227,0.0873551322657933,0,0,0.109823003492634,0,0
"C23",0.0377964473009227,0,0.0137614725565354,0,0,0.0610336300675916,0
"C24",0.0377964473009227,0.0617824189049797,0,0.0424622031583152,0,0,0
"C25",0.0377964473009227,0,0.0198691258828915,0,0,0.0613088576251279,0
"C26",0.0377964473009227,0,0.0136881055362622,0,0,0.0653497296906256,0
"C27",0.0377964473009227,0,0,0,0,0,0
"C28",0.0377964473009227,0,0.0818335015837636,0,0,0,0.0878458735672239
"C29",0.0377964473009227,0,0.0100137615484942,0,0,0.0578184260622702,0
"C30",0.0377964473009227,0,0.0103794833744399,0,0,0.0520791139771409,0
"C31",0.0377964473009227,0.083816721760293,0,0,0.0627965043086184,0,0
"C32",0.0377964473009227,0,0.0153229142022014,0,0,0.0676500330776153,0
"C33",0.0377964473009227,0,0.0856145654115099,0,0,0,0.143110762704117
"C34",0.0377964473009227,0.0766416789536206,0,0,0,0,0
"C35",0.0377964473009227,0.0176242279264376,0,0.10389042706936,0,0,0
"C36",0.0377964473009227,0,0.0498163247720988,0,0,0.0277687688973681,0
"C37",0.0377964473009227,0,0.0249380543672018,0,0,0.061768158458487,0
"C38",0.0377964473009227,0,0.0732621781298825,0,0,0,0
"C39",0.0377964473009227,0,0.0176164197427236,0,0,0.0553763085567453,0
"C40",0.0377964473009227,0,0.0836223746168672,0,0,0,0.103632548741565
"C41",0.0377964473009227,0,0.0199383659501847,0,0,0.0578702973644837,0
"C42",0.0377964473009227,0.0820992299230692,0,0,0.123724072945249,0,0
"C43",0.0377964473009227,0.0117147043144558,0,0.118235530985918,0,0,0
"C44",0.0377964473009227,0,0.0530922296795824,0,0,0.018628136472537,0
"C45",0.0377964473009227,0.0866507131256609,0,0,0.0956323762198967,0,0
