"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"Row0",0.0379049021789452,0.00129706842750017,0.00170212549627562,0,0.101994959858537,0,0,0,-0.121141182054302,0,0,0,0,0,0,0,0,0.187869276220524,0,0,0,0,0,0,0,0,0,0,0,0
"Row1",0.0379049021789452,0.000935691300349848,0.00160765361903965,0,0.10191128197272,0,0,0,-0.120302743913068,0,0,0,0,0,0,0,0,0.204548966964214,0,0,0,0,0,0,0,0,0,0,0,0
"Row2",0.0379049021789452,0.000178327027346627,0.00035578538477464,0,0.0988889383538168,0,0,0,-0.121444003570073,0,0,0,0,0,0,0,0,0.205119752095931,0,0,0,0,0,0,0,0,0,0,0,0
"Row3",0.0379049021789452,0.000225066954109595,0.000398031137260774,0,0.0992094852829316,0,0,0,-0.120157315690274,0,0,0,0,0,0,0,0,0.205244690469059,0,0,0,0,0,0,0,0,0,0,0,0
"Row4",0.0379049021789452,0.000164254177579564,0.000359124566807378,0,0.0989764793856749,0,0,0,-0.119941482479992,0,0,0,0,0,0,0,0,0.208385718649086,0,0,0,0,0,0,0,0,0,0,0,0
"Row5",0.0379049021789452,0.000149322443505596,0.000237380981208829,0,0.0987861880015468,0,0,0,-0.119133177752852,0,0,0,0,0,0,0,0,0.207832025388745,0,0,0,0,0,0,0,0,0,0,0,0
"Row6",0.0379049021789452,0.000339139234254177,0.000190353265994966,0,0.0990029570460264,0,0,0,-0.119191804330416,0,0,0,0,0,0,0,0,0.207955578140294,0,0,0,0,0,0,0,0,0,0,0,0
"Row7",0.0379049021789452,-7.26438209791607e-05,0,0.00635289060448549,0,0,0.0812926336046055,0,0,0,0,0,-0.134409898636021,0,0,0,0,0,0,0,0,0,0,0,0,-0.206268220150911,0,0,0,0
"Row8",0.0379049021789452,-0.000602355309897872,0,0.0063797521001627,0,0,0.082691518851901,0,0,0,0,0,-0.132433638858043,0,0,0,0,0,0,0,0,0,0,0,0,-0.209601794283755,0,0,0,0
"Row9",0.0379049021789452,-0.00077604129308476,0,0.00680645197849799,0,0,0.0843177216807064,0,0,0,0,0,-0.134826106067831,0,0,0,0,0,0,0,0,0,0,0,0,-0.207313350919983,0,0,0,0
"Row10",0.0379049021789452,-0.000812338575449148,0,0.00652559043559962,0,0,0.0833241629943155,0,0,0,0,0,-0.133449755968342,0,0,0,0,0,0,0,0,0,0,0,0,-0.210276557829215,0,0,0,0
"Row11",0.0379049021789452,-0.00074584845097124,0,0.0067049632240308,0,0,0.0845987058507982,0,0,0,0,0,-0.133298325354313,0,0,0,0,0,0,0,0,0,0,0,0,-0.207741161134099,0,0,0,0
"Row12",0.0379049021789452,-0.000835910035576307,0,0.00678060788684765,0,0,0.0854791049890107,0,0,0,0,0,-0.132562068154755,0,0,0,0,0,0,0,0,0,0,0,0,-0.205948653386311,0,0,0,0
"Row13",0.0379049021789452,-0.0026596976361117,0,0.00625911880154284,0,0,0.088352391120812,0,0,0,0,0,-0.134204251477326,0,0,0,0,0,0,0,0,0,0,0,0,-0.188070619280564,0,0,0,0
"Row14",0.0379049021789452,-0.00271705682886411,0,0.0064554297460217,0,0,0.0885612902771444,0,0,0,0,0,-0.133375170431948,0,0,0,0,0,0,0,0,0,0,0,0,-0.187294290437981,0,0,0,0
"Row15",0.0379049021789452,-0.00332566709676745,0,0.00648559980907447,0,0,0.0881484391194746,0,0,0,0,0,-0.13232936590601,0,0,0,0,0,0,0,0,0,0,0,0,-0.18471556735238,0,0,0,0
"Row16",0.0379049021789452,-0.00345156502914904,0,0.0063387079469052,0,0,0.0880525595390713,0,0,0,0,0,-0.131469269286801,0,0,0,0,0,0,0,0,0,0,0,0,-0.184738182816445,0,0,0,0
"Row17",0.0379049021789452,-0.00374987855751832,0,0.00590377989208753,0,0,0.0882688238670892,0,0,0,0,0,-0.131111588497851,0,0,0,0,0,0,0,0,0,0,0,0,-0.173504759499777,0,0,0,0
"Row18",0.0379049021789452,-0.00383321103309632,0,0.0053257954436938,0,0,0.0868271538554759,0,0,0,0,0,-0.127901471805953,0,0,0,0,0,0,0,0,0,0,0,0,-0.161528797932255,0,0,0,0
"Row19",0.0379049021789452,-0.00498751710030246,0,0.00617023085818285,0,0,0.0888477051778652,0,0,0,0,0,-0.118568727316263,0,0,0,0,0,0,0,0,0,0,0,0,-0.134129245355301,0,0,0,0
"Row20",0.0379049021789452,-0.00588931187217932,0,0.00518354752531289,0,0,0.089172622454739,0,0,0,0,0,-0.116666596970573,0,0,0,0,0,0,0,0,0,0,0,0,-0.119015011958026,0,0,0,0
"Row21",0.0379049021789452,-0.0063663162867952,0,0.00624907677557658,0,0,0.0914359849453577,0,0,0,0,0,-0.119426694668668,0,0,0,0,0,0,0,0,0,0,0,0,-0.0823066076101895,0,0,0,0
"Row22",0.0379049021789452,-0.00825730386150096,0,0.0058299314287766,0,0,0.0947986077465244,0,0,0,0,0,-0.109754711740088,0,0,0,0,0,0,0,0,0,0,0,0,-0.0508416129200223,0,0,0,0
"Row23",0.0379049021789452,-0.00832133708598116,0,0.00486225902640353,0,0,0.0956943521689444,0,0,0,0,0,-0.108259314006151,0,0,0,0,0,0,0,0,0,0,0,0,-0.0439492487412317,0,0,0,0
"Row24",0.0379049021789452,-0.00824394215013265,0,0.00447437301860944,0,0,0.0955914951446695,0,0,0,0,0,-0.107900779955714,0,0,0,0,0,0,0,0,0,0,0,0,-0.0425671138721341,0,0,0,0
"Row25",0.0379049021789452,-0.00843646091530146,0,0.00421708870996906,0,0,0.0953684072384102,0,0,0,0,0,-0.107031592297247,0,0,0,0,0,0,0,0,0,0,0,0,-0.0393585524621827,0,0,0,0
"Row26",0.0379049021789452,-0.00891977427607052,0,0.00552113788041282,0,0,0.0942233755129133,0,0,0,0,0,-0.104914686776765,0,0,0,0,0,0,0,0,0,0,0,0,-0.0310535337521781,0,0,0,0
