"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"Row0",6.51754284111964e-05,7.24537229608813e-05,-1.87548319602153e-06,-0.000277556957597517,-5.20873929647406e-06,2.16012632135517e-05,-6.46839465672318e-06,4.31353697803282e-05,-6.77240233492357e-05,-0.000118304862257036,-0.000101566128199768,-0.000170031402620262,-3.28975706049216e-05,-0.000181884120677237,6.93988493695302e-05,0.000120374275949588,-5.09869968550869e-05,-0.000264113253516496,0.000585305101748474,1.2690764451341e-05,-0.00617091689641597,-0.0015624613133541,-3.23627013979559e-05,1.6907767940192e-07,-0.000667156294756847,0.000578091120015358,0,-8.4698008240397e-05,0,-5.9824477644034e-05
"Row1",0.000270171730652554,-0.000289343158071257,-4.23645887541026e-07,-0.000762940536589939,-0.000103219862332154,1.78124523296765e-05,-4.35741058876524e-05,0.000958802674772192,-0.000316768288616123,4.4108389852811e-05,3.0917538944671e-06,-0.000176490277243255,4.18937944122852e-06,-0.000284228942272517,1.85711291018657e-05,3.1356719198243e-05,0.000303518412007495,-0.00018272507959657,-0.000494166932365206,3.53080964977461e-05,-0.00869860131110197,-0.00171413747998115,0.000174299530126616,-0.000174904519070797,0.000409138239714006,0.000528039722905991,0,-2.68286256458201e-05,0,-0.000660885068923171
"Row2",0.00130794808435928,-0.00108207160570832,-0.000436371516583461,-0.000794928285372428,-0.000384766477730265,-0.000127588896278257,-1.95543438505011e-05,0.00155395142510236,-0.000816910391130723,-0.000202687130313158,-0.000111611349019438,0.000402533191318501,0.000301424637966345,-0.000324557707845793,-0.000105047194384399,9.87648309822795e-05,-0.000694112443766243,-0.00178846265405075,-0.0100995370657841,-0.000697799611896838,0.0131975811271373,0.0100472919719233,0.000402701400822691,6.68066627342046e-06,0.00197019605122425,0.000232894307786987,0,0.000111140654327032,0,-0.00072486610627614
"Row3",0.0014661174324123,-0.00102594094354411,-0.000388199974321358,-0.000916531463916314,-0.000284017208449791,-0.000105024054344264,-7.25353370214683e-05,0.00167306238771999,-0.000817271846486569,-0.000342642624458467,-1.86104138451516e-05,0.000168839941439487,0.00124021568239907,-0.000490322791640615,-0.00012019175667377,0.000167111730964045,-0.000511964716526082,-0.000965450630025462,-0.0103230215229217,-0.000592724874479718,0.0107279862345797,0.00896875952240303,0.000692609692831732,-0.000279772962506573,0.00218626239647132,0.000637148784958152,0,0.000125800845687626,0,-0.0008642155550591
"Row4",0.00152156854726659,-0.0010876984500089,-0.000439954779867343,-0.000817310267080827,-0.00033818289972023,-0.000124936929187184,-0.000166483882780726,0.00212603305103214,-0.001022736421363,-0.000331981013372468,3.49081763666473e-05,6.52695893701101e-05,0.00116792223522491,-0.000826314001939352,-0.000117726171125935,0.000184565958361705,-0.000556104018028821,-0.00107606329391659,-0.0117088392910635,-0.000684626641999231,0.0113834749504893,0.0110813864934396,0.000609996208704204,-0.000325939556089053,0.0022550598578488,0.00073697986603666,0,0.000132017726778186,0,-0.00108040075853925
"Row5",0.00168643259267272,-0.00110164634236363,-0.000514229807294011,-0.000732926409551587,-0.000315428485512873,-0.000262882669305053,-0.000457457397962652,0.00269851416503121,-0.00106444097293556,-0.000410985551153753,0.00018579525242869,0.000172869563343273,0.0010115025220519,-0.00106845994965008,-0.000100342777795729,0.000255312987116411,-0.000609972631872887,-0.000788700706972604,-0.0148823970305654,-0.000571858775014834,0.0140243487111407,0.0146308073799613,0.000196493854794152,-0.00022582256587706,0.00234484890721373,0.000853504749270433,0,0.000120551206758148,0,-0.00100460842105323
"Row6",0.00169010197082926,-0.00090279782264517,-0.000484777984501406,-0.000989354770668095,-0.000282849795967243,-0.000396819667777813,-0.000308898824407605,0.00281005831166319,-0.000927258769714871,-0.000355244301160874,0.000200444766436345,0.000297651370700831,0.000642712962433771,-0.00144448239739103,-7.33709128945737e-05,0.000171696003498814,-0.000402244505343201,-0.000640348476627552,-0.0149922041466684,-0.000523033380379928,0.0158148177466508,0.0150053766569044,0.000272423166182273,-9.78586589221241e-05,0.00274932328740315,0.000817122455792576,0,4.33227428446101e-05,0,-0.000966419909340704
"Row7",0.00237442535036166,-0.00132240210825783,-0.000959153723619002,-0.00183664222865726,-0.000458320093666178,-0.00213140579626748,6.57150861228476e-05,0.00206119638825762,-0.00128513501919555,-0.00037013659175419,0.000135863934770133,0.000209221059436433,0.000515061156856566,-0.00121587896888822,-5.01024929465786e-05,0.000207103195167978,-0.0017159622869767,-0.000894081890885818,-0.0125771079459148,-0.000463303643634043,0.0149420606086803,0.0153130560992645,0.000814359561880081,-1.81030806570621e-05,0.00113322343862727,0.000536220554302286,0,1.23526142948796e-05,0,-0.00122172885441124
"Row8",0.00283381877094764,-0.00188599877497746,-0.00156854293499798,-0.0022593880974358,-0.000670106570807741,-0.00220187164238441,2.73613867808601e-05,0.00210358742753445,-0.00192061342466106,3.05665840827365e-05,-6.79652655618557e-05,0.000364262078649354,0.00130697455923634,-0.00169548411532414,4.37208370035299e-05,0.00095170797561774,-0.00178378440783463,-0.00105644790384025,-0.0169739233241649,-0.00164569685461388,0.0159971194821263,0.0119378516180992,0.000765247514261987,-0.000171418153734479,0.0013862930483567,0.000490681913427643,0,-2.10638677100547e-05,0,-0.00160029372540311
"Row9",0.00334812731902393,-0.00208464682800066,-0.00194491678203086,-0.0030222958813327,-0.000611209143641272,-0.00202499309408874,6.03303395991994e-05,0.00294979253574687,-0.00182697563360885,9.64348044681034e-06,-0.000140193001057752,0.000364021262282905,7.58635462451553e-05,-0.00225134973158895,6.81109044797961e-05,0.00169130962997475,-0.00185670404698235,-0.000511929414401533,-0.0205821557782413,-0.00133919377377752,0.0168981804028268,0.0126230716629751,-4.73211742210048e-06,0.000298586953369469,0.00347303784867087,0.000254862972006562,0,-6.38681083185319e-05,0,-0.00156435593529022
