"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"Row0",0.0379049021789452,0.00270501682216856,0.12089018179833,0,-0.134412062027836,0,0,0,0,0.141776285843187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row1",0.0379049021789452,0.00233482218659745,0.120399769281368,0,-0.133359105834685,0,0,0,0,0.140811301449572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row2",0.0379049021789452,0.00150260198863409,0.117031844768238,0,-0.132131236339819,0,0,0,0,0.161408528676537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row3",0.0379049021789452,0.00155274550820593,0.116642624532349,0,-0.129923566712576,0,0,0,0,0.158112794051048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row4",0.0379049021789452,0.00148869114338456,0.116449321744605,0,-0.129894497143585,0,0,0,0,0.159360982301381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row5",0.0379049021789452,0.00146862207750549,0.115923188138865,0,-0.128938603668658,0,0,0,0,0.165464502404215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row6",0.0379049021789452,0.00166818128277544,0.115931214982138,0,-0.128694748929345,0,0,0,0,0.169055183862484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row7",0.0379049021789452,0.00122047573960024,0.113755449980988,0,-0.127789983612226,0,0,0,0,0.18048684747868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row8",0.0379049021789452,0.000639665705152558,0.112297417279365,0,-0.128175687758814,0,0,0,0,0.177478165970102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row9",0.0379049021789452,0.000425537671537317,0.110810405328844,0,-0.125950975787252,0,0,0,0,0.172655622690721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row10",0.0379049021789452,0.000368073619397716,0.10858620219648,0,-0.123921988386327,0,0,0,0,0.170353213484234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row11",0.0379049021789452,0.000437201455655387,0.108823530086777,0,-0.123851509491136,0,0,0,0,0.169472265419454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row12",0.0379049021789452,0.000340047155325271,0.108218841768809,0,-0.121264635401474,0,0,0,0,0.16349644981616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row13",0.0379049021789452,-0.00152467308129993,0,-0.138840256756958,0,0,0,0.223867956221932,0,0,0,0,0,0,-0.146144073693694,0,0,0,0,0,0,0,0,0,0,0,0,0.424294058518725,0,0
"Row14",0.0379049021789452,-0.00158566491191225,0,-0.138460402400664,0,0,0,0.22233181679677,0,0,0,0,0,0,-0.144241275295431,0,0,0,0,0,0,0,0,0,0,0,0,0.419526109035005,0,0
"Row15",0.0379049021789452,-0.00221553097012908,0,-0.137142985248975,0,0,0,0.219503996180853,0,0,0,0,0,0,-0.141805000245549,0,0,0,0,0,0,0,0,0,0,0,0,0.404250369905396,0,0
"Row16",0.0379049021789452,-0.00234750637977303,0,-0.136531845314317,0,0,0,0.218775853076357,0,0,0,0,0,0,-0.140106414727558,0,0,0,0,0,0,0,0,0,0,0,0,0.401952924494364,0,0
"Row17",0.0379049021789452,-0.00267633717423713,0,-0.133793457615614,0,0,0,0.215285422862997,0,0,0,0,0,0,-0.131179781976799,0,0,0,0,0,0,0,0,0,0,0,0,0.350130653520177,0,0
"Row18",0.0379049021789452,-0.00280127990122343,0,-0.129473274046659,0,0,0,0.209480249570866,0,0,0,0,0,0,-0.122290392832581,0,0,0,0,0,0,0,0,0,0,0,0,0.313965078637343,0,0
"Row19",0.0379049021789452,-0.0040205039649481,0,-0.124174902028909,0,0,0,0.194130942989328,0,0,0,0,0,0,-0.0976929769097188,0,0,0,0,0,0,0,0,0,0,0,0,0.22307348278118,0,0
"Row20",0.0379049021789452,-0.00494267946018672,0,-0.120573440317605,0,0,0,0.191247375615159,0,0,0,0,0,0,-0.0849341866402473,0,0,0,0,0,0,0,0,0,0,0,0,0.163540362605505,0,0
"Row21",0.0379049021789452,-0.00545553709566157,0,-0.118946277394454,0,0,0,0.184845378816975,0,0,0,0,0,0,-0.0709116525276759,0,0,0,0,0,0,0,0,0,0,0,0,0.038028533565364,0,0
"Row22",0.0379049021789452,-0.0074031095637205,0,-0.113757821517939,0,0,0,0.174633746931553,0,0,0,0,0,0,-0.041111172676605,0,0,0,0,0,0,0,0,0,0,0,0,-0.0163660140244033,0,0
"Row23",0.0379049021789452,-0.00747270512990714,0,-0.113282868587699,0,0,0,0.17703229771844,0,0,0,0,0,0,-0.035872225063023,0,0,0,0,0,0,0,0,0,0,0,0,-0.0187958821500347,0,0
"Row24",0.0379049021789452,-0.00739450577446766,0,-0.113237018899163,0,0,0,0.178489036517987,0,0,0,0,0,0,-0.0357458353794021,0,0,0,0,0,0,0,0,0,0,0,0,-0.0143119926942702,0,0
"Row25",0.0379049021789452,-0.00759564814866493,0,-0.112308451918208,0,0,0,0.177584842439588,0,0,0,0,0,0,-0.0335187700086872,0,0,0,0,0,0,0,0,0,0,0,0,-0.0188508564146627,0,0
"Row26",0.0379049021789452,-0.0080889922615785,0,-0.11158697917549,0,0,0,0.171525403925232,0,0,0,0,0,0,-0.0343300365123831,0,0,0,0,0,0,0,0,0,0,0,0,-0.0256922696977308,0,0
"Row27",0.0379049021789452,-0.00890777738278965,0,-0.11110431967418,0,0,0,0.167304580413151,0,0,0,0,0,0,-0.0278421152967132,0,0,0,0,0,0,0,0,0,0,0,0,-0.0621909694278982,0,0
"Row28",0.0379049021789452,-0.00942701474794633,0,-0.107052259738383,0,0,0,0.151822396357183,0,0,0,0,0,0,-0.0129586743861264,0,0,0,0,0,0,0,0,0,0,0,0,-0.118994992822913,0,0
"Row29",0.0379049021789452,-0.0105562122789586,0,-0.104004632378409,0,0,0,0.145068680504909,0,0,0,0,0,0,0.0054745492057159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row30",0.0379049021789452,-0.0105821756812082,0,-0.103253125399768,0,0,0,0.144022831546563,0,0,0,0,0,0,0.00759697856812479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row31",0.0379049021789452,-0.0108443739224605,0,-0.102319613718246,0,0,0,0.14284533501749,0,0,0,0,0,0,0.00808946367016796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row32",0.0379049021789452,-0.0123188726991648,0,-0.0959366285681967,0,0,0,0.128563916975055,0,0,0,0,0,0,0.0348715282277327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row33",0.0379049021789452,-0.012300623151092,0,-0.0959573924206924,0,0,0,0.128034954249304,0,0,0,0,0,0,0.0346400926122817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row34",0.0379049021789452,-0.0135404894029968,0,-0.0946783446522016,0,0,0,0.125784907809416,0,0,0,0,0,0,0.0465750723081899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row35",0.0379049021789452,-0.0142951753281868,0,-0.0953850127497095,0,0,0,0.123355846269724,0,0,0,0,0,0,0.053210930720333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row36",0.0379049021789452,-0.0151907013526769,0,-0.0926508696370379,0,0,0,0.116837866825148,0,0,0,0,0,0,0.0682518535066965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row37",0.0379049021789452,-0.0152784886724428,0,-0.0933516972824535,0,0,0,0.118400830978371,0,0,0,0,0,0,0.0676300837271268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row38",0.0379049021789452,-0.0155633424388174,0,-0.0929717916005725,0,0,0,0.118693729902428,0,0,0,0,0,0,0.0715231809370595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row39",0.0379049021789452,-0.0156366898336208,0,-0.093056335978014,0,0,0,0.118664709715026,0,0,0,0,0,0,0.0714152582990626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row40",0.0379049021789452,-0.0158268167278481,0,-0.0909629873745963,0,0,0,0.114034279690011,0,0,0,0,0,0,0.0805482886392224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row41",0.0379049021789452,-0.016032916033351,0,-0.0908447421720691,0,0,0,0.113317780572111,0,0,0,0,0,0,0.0847877271637719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row42",0.0379049021789452,-0.0164962450490818,0,-0.0883023987825063,0,0,0,0.104868981032828,0,0,0,0,0,0,0.0955924959466315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row43",0.0379049021789452,-0.0164402711871877,0,-0.0882157983423868,0,0,0,0.103304446433688,0,0,0,0,0,0,0.0952908018563559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row44",0.0379049021789452,-0.016681772248882,0,-0.0885301559498729,0,0,0,0.103046398968733,0,0,0,0,0,0,0.097977221189291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row45",0.0379049021789452,-0.0169833610202851,0,-0.0881387622049955,0,0,0,0.09926932690642,0,0,0,0,0,0,0.10163063371909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row46",0.0379049021789452,-0.0169934892403332,0,-0.0880699278870093,0,0,0,0.0994766486129175,0,0,0,0,0,0,0.104001234711163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
