"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"Row0",0.038069349381344,0.00451472516229866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row1",0.038069349381344,0.00478292444721945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row2",0.038069349381344,0.0049969998127791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row3",0.038069349381344,0.00441414122312955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row4",0.038069349381344,0.00454797697807514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row5",0.038069349381344,0.00457880070390127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row6",0.038069349381344,0.00495610505758509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row7",0.038069349381344,0.00436621854620648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row8",0.038069349381344,0.00439841118103344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row9",0.038069349381344,0.00398814201428471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row10",0.038069349381344,0.00309245918604848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row11",0.038069349381344,0.00325260021784173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row12",0.038069349381344,0.00306671184020661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row13",0.038069349381344,0.00345182694921987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row14",0.038069349381344,0.00327940083274542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row15",0.038069349381344,0.00315472378063489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row16",0.038069349381344,0.00354294019880241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row17",0.038069349381344,0.00376431622364853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row18",0.038069349381344,0.00367088504225269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row19",0.038069349381344,0.00367214053932955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row20",0.038069349381344,0.00373850306464297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row21",0.038069349381344,0.00375742113065865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row22",0.038069349381344,0.00428797330747382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row23",0.038069349381344,0.00382454552451799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row24",0.038069349381344,0.00298658446315537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row25",0.038069349381344,0.00307571316767541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row26",0.038069349381344,0.00270609321537894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row27",0.038069349381344,0.00289271528717174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row28",0.038069349381344,0.00271604762520958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row29",0.038069349381344,0.00296178795108598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row30",0.038069349381344,0.00282869486278495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row31",0.038069349381344,0.00313619316488509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row32",0.038069349381344,0.00316759267625453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row33",0.038069349381344,0.00301867024724272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row34",0.038069349381344,0.00336435216004264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row35",0.038069349381344,0.00336668571587319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row36",0.038069349381344,0.00334288710820297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row37",0.038069349381344,0.00392868328240367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row38",0.038069349381344,0.00393636410789114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row39",0.038069349381344,0.00393684079060411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row40",0.038069349381344,0.00397176749758776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row41",0.038069349381344,0.00412323731065796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row42",0.038069349381344,0.00392419662749305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row43",0.038069349381344,0.00409649496896279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row44",0.038069349381344,0.00409808667971612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row45",0.038069349381344,0.00417615881426872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row46",0.038069349381344,0.00312164210169153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row47",0.038069349381344,0.00304740466200498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row48",0.038069349381344,0.00234984169294952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row49",0.038069349381344,0.00177776855316152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row50",0.038069349381344,0.00152068264563059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row51",0.038069349381344,-0.000100666362451551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row52",0.038069349381344,-0.00098689611524265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row53",0.038069349381344,-0.00368730421181677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row54",0.038069349381344,-0.00372444478450406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row55",0.038069349381344,-0.00407817087419728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row56",0.038069349381344,-0.00432276819292423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row57",0.038069349381344,-0.00450013884313357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row58",0.038069349381344,-0.00592293269589735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row59",0.038069349381344,-0.00707793693178551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row60",0.038069349381344,-0.00779303654322384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row61",0.038069349381344,-0.00823597534452192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row62",0.038069349381344,-0.00915379202137159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row63",0.038069349381344,-0.00901475632548972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row64",0.038069349381344,-0.00941712803257164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row65",0.038069349381344,-0.00985532872411768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row66",0.038069349381344,-0.00983549631216678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row67",0.038069349381344,-0.0100231044698791,0,0.000977342159795733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row68",0.038069349381344,-0.0102844616391099,0,0.00116150488840661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row69",0.038069349381344,-0.0104884662084997,0,0.000994273433327875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row70",0.038069349381344,-0.0113201955190156,0,0.0001356014077176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row71",0.038069349381344,-0.0125208456568661,0,0.00202905556789924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row72",0.038069349381344,-0.0127660896465154,0,0.00199973934299913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row73",0.038069349381344,-0.0139098626613105,0,0.00181175097876179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row74",0.038069349381344,-0.0139780875433912,0,0.00177241166327885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row75",0.038069349381344,-0.0139802325560128,0,0.00163972171882992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row76",0.038069349381344,-0.0150366792029097,0,0.00312082808235636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row77",0.038069349381344,-0.0158552628729469,0,0.00285238949588079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row78",0.038069349381344,-0.0176136432695797,0,0.00236978461172241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row79",0.038069349381344,-0.0173451952080098,0,0.00295277434945329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row80",0.038069349381344,-0.0173876496271602,0,0.00293258366593953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row81",0.038069349381344,-0.0197460893146708,0,0.0043480350728257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row82",0.038069349381344,-0.0198649205663577,0,0.00409796364932966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row83",0.038069349381344,-0.0212834733010915,0,0.00439871018117257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row84",0.038069349381344,-0.0221550069740178,0,0.00467409815299969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row85",0.038069349381344,-0.0228472569663823,0,0.0048711874951591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row86",0.038069349381344,-0.0239290012643221,0,0.00437098670131107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row87",0.038069349381344,-0.0240125885687087,0,0.00434847449479623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row88",0.038069349381344,-0.0246317452413194,0,0.00327779709121001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row89",0.038069349381344,-0.0249370059141059,0,0.00257246383194317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row90",0.038069349381344,-0.0271008230205393,0,0.00364642051384705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row91",0.038069349381344,-0.0269465266829857,0,0.00382727657396684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row92",0.038069349381344,0.00464121303992416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row93",0.038069349381344,0.00560122633788271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row94",0.038069349381344,0.0060012568350078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row95",0.038069349381344,0.00650275474873636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row96",0.038069349381344,0.00674673423239958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row97",0.038069349381344,0.00749439291322398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row98",0.038069349381344,0.010433180492266,0.00218375313919672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row99",0.038069349381344,0.0105064246681847,0.00200945355768007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row100",0.038069349381344,0.010476225748148,0.00199462776489061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row101",0.038069349381344,0.0113052012004831,0.00194724799544634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row102",0.038069349381344,0.012293269723736,0.00141964712358358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row103",0.038069349381344,0.0122795543468648,0.00138282849649132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row104",0.038069349381344,0.012299743636665,0.00125935101708125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row105",0.038069349381344,0.0127821972014254,0.00137900480449879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row106",0.038069349381344,0.0136370292790213,0.0019108321098255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row107",0.038069349381344,0.0138071130886273,0.00159311605441234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row108",0.038069349381344,0.014104420281361,0.00149715952406414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row109",0.038069349381344,0.0149167249787938,0.00105300533281194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row110",0.038069349381344,0.0148533786483475,0.00103548149414137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row111",0.038069349381344,0.0147939869005493,0.00143056683680429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row112",0.038069349381344,0.0166693160183855,0.000127180464699871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row113",0.038069349381344,0.0171553653441857,-6.22236138922406e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row114",0.038069349381344,0.01727695026832,-0.000166455582094058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row115",0.038069349381344,0.0185158175179191,-0.000581975313243702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row116",0.038069349381344,0.0183935912582852,-0.000392424214970392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row117",0.038069349381344,0.0191802086301801,-0.000518568692464469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
