"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Row0",0.0378777009539285,0.029196736928174,0,0.125403721399982,0,0,0,0,0.225887101297057,0
"Row1",0.0378777009539285,0.0295720581693769,0,0.125803884060744,0,0,0,0,0.227136556533584,0
"Row2",0.0378777009539285,0.0299558127059535,0,0.125545107803159,0,0,0,0,0.226985582941472,0
"Row3",0.0378777009539285,0.0299425599317307,0,0.125257078257262,0,0,0,0,0.227141644999239,0
"Row4",0.0378777009539285,0.0301491357606667,0,0.124891715834947,0,0,0,0,0.227828771938834,0
"Row5",0.0378777009539285,0.0303848312257244,0,0.124373013409501,0,0,0,0,0.225044216339187,0
"Row6",0.0378777009539285,0.0304213803377888,0,0.124932814884445,0,0,0,0,0.218974440933546,0
"Row7",0.0378777009539285,0.0301922710487836,0,0.125201339660655,0,0,0,0,0.216759496874403,0
"Row8",0.0378777009539285,0.0302108537032273,0,0.125211926116963,0,0,0,0,0.217560009429194,0
"Row9",0.0378777009539285,0.0297622421170044,0,0.125796171453324,0,0,0,0,0.213813502847539,0
"Row10",0.0378777009539285,0.0309935470730694,0,0.125496888966187,0,0,0,0,0.204998752598055,0
"Row11",0.0378777009539285,0.0307561900136171,0,0.125643295315589,0,0,0,0,0.203199511864165,0
"Row12",0.0378777009539285,0.0306402614719354,0,0.125510330351802,0,0,0,0,0.202172783928132,0
"Row13",0.0378777009539285,0.0304900118953811,0,0.125279031397013,0,0,0,0,0.198014993436879,0
"Row14",0.0378777009539285,0.0307485003418776,0,0.125649519917161,0,0,0,0,0.191708172475384,0
"Row15",0.0378777009539285,0.0306093816732289,0,0.123913647337861,0,0,0,0,0.189371239834111,0
"Row16",0.0378777009539285,0.0306017576728888,0,0.123632254475666,0,0,0,0,0.184767927841994,0
"Row17",0.0378777009539285,0.0311663603583245,0,0.124663596460133,0,0,0,0,0.174483104973374,0
"Row18",0.0378777009539285,0.0315731322451697,0,0.123495421941988,0,0,0,0,0.15750905698285,0
"Row19",0.0378777009539285,0.0314757546782304,0,0.123506017153905,0,0,0,0,0.157993919986957,0
