"V1","V2","V3","V4","V5"
"Row0",0.0377964473009227,0,0,0,0
"Row1",0.0377964473009227,0,0,0,0
"Row2",0.0377964473009227,0,0,0,0
"Row3",0.0377964473009227,0,0,0,0
"Row4",0.0377964473009227,0,0,0,0
"Row5",0.0377964473009227,0,0,0,0
"Row6",0.0377964473009227,0,0,0,0
"Row7",0.0377964473009227,0,0,0,0
"Row8",0.0377964473009227,0,0,0,0
"Row9",0.0377964473009227,0,0,0,0
"Row10",0.0377964473009227,0,0,0,0
"Row11",0.0377964473009227,0,0,0,0
"Row12",0.0377964473009227,0,0,0,0
"Row13",0.0377964473009227,0,0,0,0
"Row14",0.0377964473009227,0,0,0,0
"Row15",0.0377964473009227,0,0,0,0
"Row16",0.0377964473009227,0,0,0,0
"Row17",0.0377964473009227,0,0,0,0
"Row18",0.0377964473009227,0,0,0,0
"Row19",0.0377964473009227,0,0,0,0
"Row20",0.0377964473009227,0,0,0,0
"Row21",0.0377964473009227,0,0,0,0
"Row22",0.0377964473009227,0,0,0,0
"Row23",0.0377964473009227,0,0,0,0
"Row24",0.0377964473009227,0,0,0,0
"Row25",0.0377964473009227,0,0,0,0
"Row26",0.0377964473009227,0,0,0,0
"Row27",0.0377964473009227,0,0,0,0
"Row28",0.0377964473009227,0,0,0,0
"Row29",0.0377964473009227,0,0,0,0
"Row30",0.0377964473009227,0,0,0,0
"Row31",0.0377964473009227,0,0,0,0
"Row32",0.0377964473009227,0,0,0,0
"Row33",0.0377964473009227,0,0,0,0
"Row34",0.0377964473009227,0,0,0,0
"Row35",0.0377964473009227,0,0,0,0
"Row36",0.0377964473009227,0,0,0,0
"Row37",0.0377964473009227,0,0,0,0
"Row38",0.0377964473009227,0,0,0,0
"Row39",0.0377964473009227,0,0,0,0
"Row40",0.0377964473009227,0,0,0,0
"Row41",0.0377964473009227,0,0,0,0
"Row42",0.0377964473009227,0,0,0,0
"Row43",0.0377964473009227,0,0,0,0
"Row44",0.0377964473009227,0,0,0,0
"Row45",0.0377964473009227,0,0,0,0
"Row46",0.0377964473009227,0,0,0,0
"Row47",0.0377964473009227,0,0,0,0
"Row48",0.0377964473009227,0,0,0,0
"Row49",0.0377964473009227,0,0,0,0
"Row50",0.0377964473009227,0,0,0,0
"Row51",0.0377964473009227,0,0,0,0
"Row52",0.0377964473009227,0,0,0,0
"Row53",0.0377964473009227,0,0,0,0
"Row54",0.0377964473009227,0,0,0,0
"Row55",0.0377964473009227,0,0,0,0
"Row56",0.0377964473009227,0,0,0,0
"Row57",0.0377964473009227,0,0,0,0
"Row58",0.0377964473009227,0,0,0,0
"Row59",0.0377964473009227,0,0,0,0
"Row60",0.0377964473009227,0,0,0,0
"Row61",0.0377964473009227,0,0,0,0
"Row62",0.0377964473009227,0,0,0,0
"Row63",0.0377964473009227,0,0,0,0
"Row64",0.0377964473009227,0,0,0,0
"Row65",0.0377964473009227,0,0,0,0
"Row66",0.0377964473009227,0,0,0,0
"Row67",0.0377964473009227,0,0,0,0
"Row68",0.0377964473009227,0,0,0,0
"Row69",0.0377964473009227,0,0,0,0
"Row70",0.0377964473009227,0,0,0,0
"Row71",0.0377964473009227,0,0,0,0
"Row72",0.0377964473009227,0,0,0,0
"Row73",0.0377964473009227,0,0,0,0
"Row74",0.0377964473009227,0,0,0,0
"Row75",0.0377964473009227,0,0,0,0
"Row76",0.0377964473009227,0,0,0,0
"Row77",0.0377964473009227,0,0,0,0
"Row78",0.0377964473009227,0,0,0,0
"Row79",0.0377964473009227,0,0,0,0
"Row80",0.0377964473009227,0,0,0,0
"Row81",0.0377964473009227,0,0,0,0
"Row82",0.0377964473009227,0,0,0,0
"Row83",0.0377964473009227,0,0,0,0
"Row84",0.0377964473009227,0,0,0,0
"Row85",0.0377964473009227,0,0,0,0
"Row86",0.0377964473009227,0,0,0,0
"Row87",0.0377964473009227,0,0,0,0
"Row88",0.0377964473009227,0,0,0,0
"Row89",0.0377964473009227,0,0,0,0
"Row90",0.0377964473009227,0,0,0,0
"Row91",0.0377964473009227,0,0,0,0
"Row92",0.0377964473009227,0,0,0,0
"Row93",0.0377964473009227,0,0,0,0
"Row94",0.0377964473009227,0,0,0,0
"Row95",0.0377964473009227,0,0,0,0
"Row96",0.0377964473009227,0,0,0,0
"Row97",0.0377964473009227,0,0,0,0
"Row98",0.0377964473009227,0,0,0,0
"Row99",0.0377964473009227,0,0,0,0
"Row100",0.0377964473009227,0.0431692111611569,0,0,0
"Row101",0.0377964473009227,0.0345337552768962,0,0.0458383289593047,0
"Row102",0.0377964473009227,0.0435690535263388,0,0,0
"Row103",0.0377964473009227,0.0472507704529493,0,0,0
"Row104",0.0377964473009227,0.0451214202214688,0,0,0
"Row105",0.0377964473009227,0.0312795269037638,0,0,0
"Row106",0.0377964473009227,0,0,0,0
"Row107",0.0377964473009227,0.0376157712381593,0,0,0
"Row108",0.0377964473009227,0.0404987041132261,0,0,0
"Row109",0.0377964473009227,0.0469735241030271,0,0.0550328356893174,0
"Row110",0.0377964473009227,0.0421265891088719,0,0,0
"Row111",0.0377964473009227,0.0351340761504564,0,0,0
"Row112",0.0377964473009227,0.0403648332253558,0,0,0
"Row113",0.0377964473009227,0,0,0,0
"Row114",0.0377964473009227,0.0404867327730208,0,0,0
"Row115",0.0377964473009227,0.0548356143054013,0,0,0
"Row116",0.0377964473009227,0,0,0,0
"Row117",0.0377964473009227,0.0471330354218336,0,0,0
"Row118",0.0377964473009227,0.0424499849813684,0,0,0
"Row119",0.0377964473009227,0.0423802513293666,0,0.0229120746371694,0
"Row120",0.0377964473009227,0.0417416921247462,0,0,0
"Row121",0.0377964473009227,0.0543312340588648,0,0.0308578880960266,0
"Row122",0.0377964473009227,0.061034331526979,0,0,0
"Row123",0.0377964473009227,0.031462297636902,0,0,0
"Row124",0.0377964473009227,0.0343469191295193,0,0,0.0301780810652248
"Row125",0.0377964473009227,0.0367077189235174,0,0,0
"Row126",0.0377964473009227,0.0319639022335311,0,0,0
"Row127",0.0377964473009227,0.03302988334822,0,0,0
"Row128",0.0377964473009227,0.029887924959763,0,0,0
"Row129",0.0377964473009227,0.0431461210104636,0,0,0
"Row130",0.0377964473009227,0.0447711742894948,0,0,0
"Row131",0.0377964473009227,0.0566033891717683,0,0,0
"Row132",0.0377964473009227,0.0572723504757746,0,0.0393713059921436,0
"Row133",0.0377964473009227,0.0574850241158943,0,0,0
"Row134",0.0377964473009227,0.0458051819927236,0,0,0
"Row135",0.0377964473009227,0,0,0,0
"Row136",0.0377964473009227,0.0555337578442841,0,0,0
"Row137",0.0377964473009227,0.0495146881935656,0,0,0
"Row138",0.0377964473009227,0.0577333426538284,0,0,0
"Row139",0.0377964473009227,0.0701959298873229,0,0,0
"Row140",0.0377964473009227,0.0225117536184872,0,0,0
"Row141",0.0377964473009227,0.024027481323466,0,0,0
"Row142",0.0377964473009227,0.0445365484022266,0,0,0
"Row143",0.0377964473009227,0.0254227930121698,0,0,0
"Row144",0.0377964473009227,0,0,0,0
"Row145",0.0377964473009227,0.0355372796244308,0,0,0
"Row146",0.0377964473009227,0.0462587303741131,0,0,0
"Row147",0.0377964473009227,0,0,0,0
"Row148",0.0377964473009227,0.052702991603617,0,0,0
"Row149",0.0377964473009227,0.0541298483201323,0,0.0321169518529161,0
"Row150",0.0377964473009227,0,0,0,0
"Row151",0.0377964473009227,0,0,0,0
"Row152",0.0377964473009227,0.0547963586357634,0,0,0
"Row153",0.0377964473009227,0.0425084836911465,0,0.0410080850154231,0
"Row154",0.0377964473009227,0.0253033477096127,0,0,0
"Row155",0.0377964473009227,0.0398166807407576,0,0,0
"Row156",0.0377964473009227,0.0317371961792237,0,0.0544220301262501,0
"Row157",0.0377964473009227,0.0250962612985168,0,0,0
"Row158",0.0377964473009227,0.0356929067399666,0,0.0263757501577762,0
"Row159",0.0377964473009227,0.0453529829166642,0,0.0278017433778971,0
"Row160",0.0377964473009227,0.055047972646971,0,0,0.0314638808097002
"Row161",0.0377964473009227,0.036202758554104,0,0,0
"Row162",0.0377964473009227,0.0570035046033041,0,0,0
"Row163",0.0377964473009227,0.0479334635654513,0,0,0
"Row164",0.0377964473009227,0.0443812185489401,0,0.0242733546150848,0
"Row165",0.0377964473009227,0,0,0,0
"Row166",0.0377964473009227,0,0,0,0
"Row167",0.0377964473009227,0.0294277645757686,0,0,0
"Row168",0.0377964473009227,0.0412675968620741,0,0,0
"Row169",0.0377964473009227,0.0547645117070853,0,0.0252799861900336,0
"Row170",0.0377964473009227,0.0469121151248393,0,0,0
"Row171",0.0377964473009227,0.0357447821257055,0,0,0
"Row172",0.0377964473009227,0.0476472696057836,0,0,0
"Row173",0.0377964473009227,0.0452011520438917,0,0,0
"Row174",0.0377964473009227,0.0460855181650006,0,0,0
"Row175",0.0377964473009227,0.0492060409291695,0,0.0283366594984268,0
"Row176",0.0377964473009227,0.0227357452215887,0,0.0282621932161581,0
"Row177",0.0377964473009227,0.0342137691304606,0,0,0
"Row178",0.0377964473009227,0,0,0,0
"Row179",0.0377964473009227,0,0,0,0
"Row180",0.0377964473009227,0.0635924778184727,0,0,0
"Row181",0.0377964473009227,0.0420264721893236,0,0,0
"Row182",0.0377964473009227,0.0408660084503629,0,0.0273868561118708,0
"Row183",0.0377964473009227,0,0,0,0
"Row184",0.0377964473009227,0,0,0,0
"Row185",0.0377964473009227,0.0480905647591037,0,0,0
"Row186",0.0377964473009227,0.0544698474599507,0,0,0
"Row187",0.0377964473009227,0.0295222962134777,0,0,0
"Row188",0.0377964473009227,0.0393602519477654,0,0,0
"Row189",0.0377964473009227,0.0337684751523748,0,0,0
"Row190",0.0377964473009227,0.0313438158319174,0,0,0
"Row191",0.0377964473009227,0.0418372928468467,0,0.0410808060615181,0
"Row192",0.0377964473009227,0.04786488302657,0,0,0
"Row193",0.0377964473009227,0.0303543070906665,0,0.0292724665928318,0
"Row194",0.0377964473009227,0,0,0,0
"Row195",0.0377964473009227,0.0256674376821573,0,0,0
"Row196",0.0377964473009227,0.033324528894199,0,0,0.0271347233635249
"Row197",0.0377964473009227,0.0378608232517594,0,0,0
"Row198",0.0377964473009227,0.0532283453191923,0,0,0
"Row199",0.0377964473009227,0.0311606485752581,0,0.033990129562489,0
"Row200",0.0377964473009227,0,0.0528348086977111,0,0
"Row201",0.0377964473009227,0,0.0467552757678873,0,0
"Row202",0.0377964473009227,0,0.032065132856079,0,0
"Row203",0.0377964473009227,0,0.0451303985988243,0,0
"Row204",0.0377964473009227,0,0.0310368122198338,0,0
"Row205",0.0377964473009227,0,0.0310238693961388,0,0
"Row206",0.0377964473009227,0,0.0383475708351864,0,0
"Row207",0.0377964473009227,0,0.0430579030733455,0,0
"Row208",0.0377964473009227,0,0.0579491735830107,0,0
"Row209",0.0377964473009227,0,0.0294314827954533,0,0
"Row210",0.0377964473009227,0,0,0,0
"Row211",0.0377964473009227,0,0.0551688575014457,0,0
"Row212",0.0377964473009227,0,0.0409250437966805,0,0
"Row213",0.0377964473009227,0,0.0284460227817553,0,0
"Row214",0.0377964473009227,0,0.0382317274795755,0,0
"Row215",0.0377964473009227,0,0.0329553775171749,0,0
"Row216",0.0377964473009227,0,0.0361216586631973,0,0
"Row217",0.0377964473009227,0,0,0,0
"Row218",0.0377964473009227,0,0.0528678825380079,0,0
"Row219",0.0377964473009227,0,0.0678394301687792,0,0
"Row220",0.0377964473009227,0,0.0372600553562978,0,0
"Row221",0.0377964473009227,0,0.045809919034141,0,0
"Row222",0.0377964473009227,0,0.0583650731026579,0,0
"Row223",0.0377964473009227,0,0.039365499810546,0,0
"Row224",0.0377964473009227,0,0.0340553174745888,0,0
"Row225",0.0377964473009227,0,0.029789989162254,0,0
"Row226",0.0377964473009227,0,0,0,0
"Row227",0.0377964473009227,0,0.0467692154483451,0,0
"Row228",0.0377964473009227,0,0.0478239341235443,0,0
"Row229",0.0377964473009227,0,0.0331823637858612,0,0
"Row230",0.0377964473009227,0,0.0456091252185911,0,0
"Row231",0.0377964473009227,0,0.0339317120553577,0,0
"Row232",0.0377964473009227,0,0,0,0
"Row233",0.0377964473009227,0,0.0281758898015278,0,0
"Row234",0.0377964473009227,0,0,0,0
"Row235",0.0377964473009227,0,0.0432084939117267,0,0
"Row236",0.0377964473009227,0,0.0460955340332194,0,0
"Row237",0.0377964473009227,0,0.041975472138876,0,0
"Row238",0.0377964473009227,0,0.0502849371952314,0,0
"Row239",0.0377964473009227,0,0.0435297708888023,0,0
"Row240",0.0377964473009227,0,0.0326417171717411,0,0
"Row241",0.0377964473009227,0,0.0275339756448584,0,0
"Row242",0.0377964473009227,0,0.0329618298797326,0,0
"Row243",0.0377964473009227,0,0.0328410779165107,0,0
"Row244",0.0377964473009227,0,0.0403697430207269,0,0
"Row245",0.0377964473009227,0,0.0470424838500808,0,0
"Row246",0.0377964473009227,0,0.0456535239128803,0,0
"Row247",0.0377964473009227,0,0.0395818647536204,0,0
"Row248",0.0377964473009227,0,0.0546634673604947,0,0
"Row249",0.0377964473009227,0,0.0555981909633799,0,0
"Row250",0.0377964473009227,0,0.0509767511002137,0,0
"Row251",0.0377964473009227,0,0.0518173638526968,0,0
"Row252",0.0377964473009227,0,0.0302132799613749,0,0
"Row253",0.0377964473009227,0,0.0501684516139112,0,0
"Row254",0.0377964473009227,0,0.0375793086966155,0,0
"Row255",0.0377964473009227,0,0.0547028394129276,0,0
"Row256",0.0377964473009227,0,0.044981126760091,0,0
"Row257",0.0377964473009227,0,0,0,0
"Row258",0.0377964473009227,0,0.0390533129392605,0,0
"Row259",0.0377964473009227,0,0.0443298199056027,0,0
"Row260",0.0377964473009227,0,0.0577307725452582,0,0
"Row261",0.0377964473009227,0,0.0331879138498245,0,0
"Row262",0.0377964473009227,0,0.0423208922624942,0,0
"Row263",0.0377964473009227,0,0.0276117320485534,0,0
"Row264",0.0377964473009227,0,0.0352132316236411,0,0
"Row265",0.0377964473009227,0,0.0393728865155874,0,0
"Row266",0.0377964473009227,0,0,0,0
"Row267",0.0377964473009227,0,0,0,0
"Row268",0.0377964473009227,0,0.0423036326934321,0,0
"Row269",0.0377964473009227,0,0.0515718477814588,0,0
"Row270",0.0377964473009227,0,0,0,0
"Row271",0.0377964473009227,0,0.0522823351022289,0,0
"Row272",0.0377964473009227,0,0.0584494197470223,0,0
"Row273",0.0377964473009227,0,0,0,0
"Row274",0.0377964473009227,0,0.0347293253326653,0,0
"Row275",0.0377964473009227,0,0.047487457074,0,0
"Row276",0.0377964473009227,0,0,0,0
"Row277",0.0377964473009227,0,0.054419866269283,0,0
"Row278",0.0377964473009227,0,0,0,0
"Row279",0.0377964473009227,0,0.0292136867353777,0,0
"Row280",0.0377964473009227,0,0.0703804850906423,0,0
"Row281",0.0377964473009227,0,0.0571040235240506,0,0
"Row282",0.0377964473009227,0,0.032596988953061,0,0
"Row283",0.0377964473009227,0,0.0493050507225085,0,0
"Row284",0.0377964473009227,0,0.0418297376203074,0,0
"Row285",0.0377964473009227,0,0.0529689635684254,0,0
"Row286",0.0377964473009227,0,0.052845342034629,0,0
"Row287",0.0377964473009227,0,0,0,0
"Row288",0.0377964473009227,0,0.0523787674809064,0,0
"Row289",0.0377964473009227,0,0.0405410039866904,0,0
"Row290",0.0377964473009227,0,0.0409382180609435,0,0
"Row291",0.0377964473009227,0,0.0564347154547664,0,0
"Row292",0.0377964473009227,0,0.0577687306880127,0,0
"Row293",0.0377964473009227,0,0.057004347773271,0,0
"Row294",0.0377964473009227,0,0.0511013180424296,0,0
"Row295",0.0377964473009227,0,0.0287669947301714,0,0
"Row296",0.0377964473009227,0,0.0304960870220122,0,0
"Row297",0.0377964473009227,0,0.045049213060851,0,0
"Row298",0.0377964473009227,0,0.0507370568904235,0,0
"Row299",0.0377964473009227,0,0.0312015542495783,0,0
"Row300",0.0377964473009227,0.0805107148354647,0,0,0.0545799560502876
"Row301",0.0377964473009227,0.0750037908797966,0,0,0.0902117918070176
"Row302",0.0377964473009227,0.0750148520871816,0,0,0.102364536059232
"Row303",0.0377964473009227,0.091984157948027,0,0,0.0983834981051775
"Row304",0.0377964473009227,0.0591021043132394,0,0,0.12020620647268
"Row305",0.0377964473009227,0.0751106361242169,0,0,0.0790150475092597
"Row306",0.0377964473009227,0.0427515558117984,0,0,0.159683169838397
"Row307",0.0377964473009227,0.09381411827918,0,0,0.0988073978267075
"Row308",0.0377964473009227,0.0535363217731161,0,0,0.0885428100683432
"Row309",0.0377964473009227,0.068710816485912,0,0,0.0877759550203817
"Row310",0.0377964473009227,0.0500724014143405,0,0,0.0824073777262125
"Row311",0.0377964473009227,0.0687737229994499,0,0,0.11862213884714
"Row312",0.0377964473009227,0.0437740409853973,0,0,0.104805796974669
"Row313",0.0377964473009227,0.061993548774251,0,0,0.119714633300646
"Row314",0.0377964473009227,0.074650110232008,0,0,0.0863441205775653
"Row315",0.0377964473009227,0.0647454559489123,0,0,0.100384403776659
"Row316",0.0377964473009227,0.0527170921412939,0,0,0.0810486533879773
"Row317",0.0377964473009227,0.0760308800836283,0,0,0.0486076705547649
"Row318",0.0377964473009227,0.0575868008013422,0,0,0.0873954899761541
"Row319",0.0377964473009227,0.0561535834145408,0,0,0.133415731613663
"Row320",0.0377964473009227,0.0650964197513828,0,0,0.108137690326106
"Row321",0.0377964473009227,0.0446632380149312,0,0,0.0854087658933081
"Row322",0.0377964473009227,0.0557240675041628,0,0,0.096931529806901
