"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Row0",0.0258198889747161,-0.00171638348335577,0,0,0,0,0,0,0,0
"Row1",0.0258198889747161,-0.000593905746336278,0,0,0,0,0,0,0,0
"Row2",0.0258198889747161,0.00216619866239204,0,0,0,0,0,0,0,0
"Row3",0.0258198889747161,0.000156261975739579,0,0,0,0,0,0,0,0
"Row4",0.0258198889747161,-0.00220452147340614,0,0,0,0,0,0,0,0
"Row5",0.0258198889747161,-0.00169952762537329,0,0,0,0,0,0,0,0
"Row6",0.0258198889747161,0.0010965159575569,0,0,0,0,0,0,0,0
"Row7",0.0258198889747161,-0.00128136690950202,0,0,0,0,0,0,0,0
"Row8",0.0258198889747161,-0.00193561438705286,0,0,0,0,0,0,0,0
"Row9",0.0258198889747161,-0.000567064246432936,0,0,0,0,0,0,0,0
"Row10",0.0258198889747161,-0.00252956794517867,0,0,0,0,0,0,0,0
"Row11",0.0258198889747161,-0.000720424890632598,0,0,0,0,0,0,0,0
"Row12",0.0258198889747161,0.000968145522737047,0,0,0,0,0,0,0,0
"Row13",0.0258198889747161,-0.000723544336102407,0,0,0,0,0,0,0,0
"Row14",0.0258198889747161,-0.0018385698453706,0,0,0,0,0,0,0,0
"Row15",0.0258198889747161,-0.00205264051596593,0,0,0,0,0,0,0,0
"Row16",0.0258198889747161,-0.0019218436102389,0,0,0,0,0,0,0,0
"Row17",0.0258198889747161,-0.000606996502689907,0,0,0,0,0,0,0,0
"Row18",0.0258198889747161,-0.0017222545384013,0,0,0,0,0,0,0,0
"Row19",0.0258198889747161,-0.00321686172204345,0,0,0,0,0,0,0,0
"Row20",0.0258198889747161,-0.000435788257283003,0,0,0,0,0,0,0,0
"Row21",0.0258198889747161,-0.00339054486565484,0,0,0,0,0,0,0,0
"Row22",0.0258198889747161,-0.00034013488598314,0,0,0,0,0,0,0,0
"Row23",0.0258198889747161,-0.000199019614069494,0,0,0,0,0,0,0,0
"Row24",0.0258198889747161,-0.000970372918166717,0,0,0,0,0,0,0,0
"Row25",0.0258198889747161,-0.00041333307095799,0,0,0,0,0,0,0,0
"Row26",0.0258198889747161,-0.00201571948251435,0,0,0,0,0,0,0,0
"Row27",0.0258198889747161,0.00088469875768307,0,0,0,0,0,0,0,0
"Row28",0.0258198889747161,-0.00237578520163522,0,0,0,0,0,0,0,0
"Row29",0.0258198889747161,-0.000229404292899465,0,0,0,0,0,0,0,0
"Row30",0.0258198889747161,0.000160017579306558,0,0,0,0,0,0,0,0
"Row31",0.0258198889747161,-0.00166425524136737,0,0,0,0,0,0,0,0
"Row32",0.0258198889747161,-0.000576952691061469,0,0,0,0,0,0,0,0
"Row33",0.0258198889747161,-0.000460772199223297,0,0,0,0,0,0,0,0
"Row34",0.0258198889747161,-3.08093542254575e-05,0,0,0,0,0,0,0,0
"Row35",0.0258198889747161,-0.00180726263066096,0,0,0,0,0,0,0,0
"Row36",0.0258198889747161,-0.00110780579132586,0,0,0,0,0,0,0,0
"Row37",0.0258198889747161,-0.00151944218086772,0,0,0,0,0,0,0,0
"Row38",0.0258198889747161,0.00194647390308566,0,0,0,0,0,0,0,0
"Row39",0.0258198889747161,-0.00222354327783534,0,0,0,0,0,0,0,0
"Row40",0.0258198889747161,-0.00186633364704405,0,0,0,0,0,0,0,0
"Row41",0.0258198889747161,-0.000160311939219642,0,0,0,0,0,0,0,0
"Row42",0.0258198889747161,-0.00118601262867667,0,0,0,0,0,0,0,0
"Row43",0.0258198889747161,-0.00144900783676669,0,0,0,0,0,0,0,0
"Row44",0.0258198889747161,0.00155680788470975,0,0,0,0,0,0,0,0
"Row45",0.0258198889747161,-0.000609386995760224,0,0,0,0,0,0,0,0
"Row46",0.0258198889747161,0.000864976670512545,0,0,0,0,0,0,0,0
"Row47",0.0258198889747161,0.000549469548797125,0,0,0,0,0,0,0,0
"Row48",0.0258198889747161,-0.000482103695156549,0,0,0,0,0,0,0,0
"Row49",0.0258198889747161,-0.00121399375270236,0,0,0,0,0,0,0,0
"Row50",0.0258198889747161,-0.00292174669449358,0,0,0,0,0,0,0,0
"Row51",0.0258198889747161,0.00199376325737521,0,0,0,0,0,0,0,0
"Row52",0.0258198889747161,-0.000557727295590607,0,0,0,0,0,0,0,0
"Row53",0.0258198889747161,-0.00176594396964244,0,0,0,0,0,0,0,0
"Row54",0.0258198889747161,-0.00049969657052789,0,0,0,0,0,0,0,0
"Row55",0.0258198889747161,-0.000790387039726626,0,0,0,0,0,0,0,0
"Row56",0.0258198889747161,0.000950682488981206,0,0,0,0,0,0,0,0
"Row57",0.0258198889747161,-0.00208826535056878,0,0,0,0,0,0,0,0
"Row58",0.0258198889747161,9.09237134903139e-05,0,0,0,0,0,0,0,0
"Row59",0.0258198889747161,-0.00167755366536097,0,0,0,0,0,0,0,0
"Row60",0.0258198889747161,-0.002179267509845,0,0,0,0,0,0,0,0
"Row61",0.0258198889747161,0.000786980594214548,0,0,0,0,0,0,0,0
