"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"Row0",0.0258198889747161,-0.00154181659249994,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row1",0.0258198889747161,-0.00116476671472279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row2",0.0258198889747161,-0.00129687099699997,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row3",0.0258198889747161,-0.00294579800303518,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row4",0.0258198889747161,-0.0024963855295377,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row5",0.0258198889747161,0.000897045418145132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row6",0.0258198889747161,-0.00055961896560137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row7",0.0258198889747161,-0.00163246938955607,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row8",0.0258198889747161,0.00127181222010846,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row9",0.0258198889747161,-0.000852878591185632,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row10",0.0258198889747161,-0.00098230584545629,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row11",0.0258198889747161,-0.00137186553334828,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row12",0.0258198889747161,-0.00345809723862943,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row13",0.0258198889747161,-0.00181310332873926,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row14",0.0258198889747161,-0.00168112528029516,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row15",0.0258198889747161,0.000518956004279573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row16",0.0258198889747161,-0.00244407939786712,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row17",0.0258198889747161,-0.00107468373526776,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row18",0.0258198889747161,-0.0026359161049252,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row19",0.0258198889747161,0.00145369221333665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row20",0.0258198889747161,-0.000274399274325815,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row21",0.0258198889747161,-0.00145980384874878,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row22",0.0258198889747161,-3.24470150462174e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row23",0.0258198889747161,0.00158846298272981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row24",0.0258198889747161,-0.00121835393495974,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row25",0.0258198889747161,-0.00086675065692124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row26",0.0258198889747161,-0.00327975602773161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row27",0.0258198889747161,-0.00128593972453113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row28",0.0258198889747161,0.00105200888892571,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row29",0.0258198889747161,-0.00152977777240599,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row30",0.0258198889747161,-0.00049375251573674,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row31",0.0258198889747161,-0.00159311569741153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row32",0.0258198889747161,-0.000397069077057531,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row33",0.0258198889747161,-0.000892267542708462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row34",0.0258198889747161,-0.00106639156690367,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row35",0.0258198889747161,-0.000168731980674766,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row36",0.0258198889747161,-0.00162638341825356,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row37",0.0258198889747161,-0.000196134105822405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row38",0.0258198889747161,-0.000415516916327425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row39",0.0258198889747161,-0.000336129320784204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row40",0.0258198889747161,-0.00104149397975668,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row41",0.0258198889747161,0.000668334889582885,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row42",0.0258198889747161,-0.00265052034278467,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row43",0.0258198889747161,-0.000685030745011521,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row44",0.0258198889747161,0.0010099971779181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row45",0.0258198889747161,-0.00154311323238,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row46",0.0258198889747161,-0.00291081525379272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row47",0.0258198889747161,-0.000777541703530116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row48",0.0258198889747161,-0.0003651335922258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row49",0.0258198889747161,0.000680022703404437,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row50",0.0258198889747161,-0.000241241783995774,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row51",0.0258198889747161,0.00190741187107025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row52",0.0258198889747161,-0.000602905841683222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row53",0.0258198889747161,0.00105037462665965,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row54",0.0258198889747161,0.000294281003049664,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row55",0.0258198889747161,-0.00372318250096784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row56",0.0258198889747161,0.000291655695907418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row57",0.0258198889747161,-0.000187277253057177,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row58",0.0258198889747161,-0.00185555904721057,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row59",0.0258198889747161,-0.000791839796446519,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row60",0.0258198889747161,-0.00209921477640001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row61",0.0258198889747161,-0.00183486419631653,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row62",0.0258198889747161,-0.00173270839611721,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row63",0.0258198889747161,-0.00100099907294552,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row64",0.0258198889747161,-0.000256240827460571,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row65",0.0258198889747161,-0.00141041313512121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row66",0.0258198889747161,6.30758458964077e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row67",0.0258198889747161,-0.00246176420445039,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row68",0.0258198889747161,0.000872724379039861,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row69",0.0258198889747161,-0.000340560116184215,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row70",0.0258198889747161,-0.00226588300261943,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row71",0.0258198889747161,0.00129700970019158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row72",0.0258198889747161,-0.000931855703249405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row73",0.0258198889747161,0.000687303535169612,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row74",0.0258198889747161,-0.00235180734901235,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row75",0.0258198889747161,-0.00294788445137549,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row76",0.0258198889747161,-0.00441971732329267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row77",0.0258198889747161,-0.000814196331338042,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row78",0.0258198889747161,-0.00186604876071781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row79",0.0258198889747161,-0.00107780678989837,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row80",0.0258198889747161,-1.14810011195887e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row81",0.0258198889747161,-0.00156953301124772,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row82",0.0258198889747161,-0.00346441142938144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row83",0.0258198889747161,0.002508112829544,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row84",0.0258198889747161,-0.000558511119920414,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row85",0.0258198889747161,-0.000115737991722001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row86",0.0258198889747161,-0.00168554139475595,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row87",0.0258198889747161,-0.00189964471425956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row88",0.0258198889747161,0.000368713616175324,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row89",0.0258198889747161,-0.00184770860387273,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row90",0.0258198889747161,-0.00167975050244001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row91",0.0258198889747161,-0.00126904130942792,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row92",0.0258198889747161,-0.00221257579906623,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row93",0.0258198889747161,0.00115773650851093,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row94",0.0258198889747161,-0.000326893528819098,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row95",0.0258198889747161,-0.000707083164498181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row96",0.0258198889747161,-0.00168314439478418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row97",0.0258198889747161,-0.00169961502323704,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row98",0.0258198889747161,0.0019770108987919,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row99",0.0258198889747161,-0.00040231462803433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row100",0.0258198889747161,0.0181232446006526,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row101",0.0258198889747161,0.0175628857609303,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row102",0.0258198889747161,0.0181789030910781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row103",0.0258198889747161,0.017700884658653,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row104",0.0258198889747161,0.017842684726775,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row105",0.0258198889747161,0.0168070973049439,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row106",0.0258198889747161,0.0153849308774279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row107",0.0258198889747161,0.0170697845931584,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row108",0.0258198889747161,0.0178099013495363,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row109",0.0258198889747161,0.0184099027921042,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row110",0.0258198889747161,0.0174173098895699,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row111",0.0258198889747161,0.0182669680479228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row112",0.0258198889747161,0.0175376454742404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row113",0.0258198889747161,0.0164973298019106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row114",0.0258198889747161,0.0172938610931602,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row115",0.0258198889747161,0.018950183831146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row116",0.0258198889747161,0.0159101075706766,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row117",0.0258198889747161,0.0188134901953721,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row118",0.0258198889747161,0.0187192469346662,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row119",0.0258198889747161,0.0188127394967487,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row120",0.0258198889747161,0.0181065845722754,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row121",0.0258198889747161,0.019066882691829,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row122",0.0258198889747161,0.0191215149633652,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row123",0.0258198889747161,0.0173051397287286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row124",0.0258198889747161,0.0168915634733504,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row125",0.0258198889747161,0.0175097302530796,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row126",0.0258198889747161,0.0165445679551393,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row127",0.0258198889747161,0.0166492553540087,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row128",0.0258198889747161,0.016251301673684,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row129",0.0258198889747161,0.0180761845890267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row130",0.0258198889747161,0.0178520382948527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row131",0.0258198889747161,0.0191095534450828,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row132",0.0258198889747161,0.0192495051634337,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row133",0.0258198889747161,0.0198720151801476,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row134",0.0258198889747161,0.0191155872106841,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row135",0.0258198889747161,0.0164252253204355,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row136",0.0258198889747161,0.0194892726950894,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row137",0.0258198889747161,0.0194702097227424,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row138",0.0258198889747161,0.0189659886978312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row139",0.0258198889747161,0.0208672977228581,-0.000912469249334206,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row140",0.0258198889747161,0.0163842845682116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row141",0.0258198889747161,0.0161397082102159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row142",0.0258198889747161,0.0178445869490437,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row143",0.0258198889747161,0.016745669983121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row144",0.0258198889747161,0.0162760721183304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row145",0.0258198889747161,0.0176046198929097,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row146",0.0258198889747161,0.0182063064201982,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row147",0.0258198889747161,0.0135313407719115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row148",0.0258198889747161,0.0188335706397937,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row149",0.0258198889747161,0.0198164006187075,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row150",0.0258198889747161,0.0156421068615523,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row151",0.0258198889747161,0.0154096918372092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row152",0.0258198889747161,0.0190554653158813,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row153",0.0258198889747161,0.0173311955163514,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row154",0.0258198889747161,0.0159059182205465,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row155",0.0258198889747161,0.018183407963329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row156",0.0258198889747161,0.016412186969296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row157",0.0258198889747161,0.0164262915001445,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row158",0.0258198889747161,0.0163991869355403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row159",0.0258198889747161,0.0183237737353958,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row160",0.0258198889747161,0.0175142234121581,0,0,0,0,0,0,0,0,0,0,0,0,0,0
